epoch, reward, loss
1, 0.67, 2.0783
2, 0.81, 0.6696
3, -0.93, 3.3002
4, 0.22, 5.6254
5, 0.64, 6.8389
6, 0.39, 7.5973
7, -1.66, 8.1793
8, 1.48, 8.5909
9, 0.52, 8.9004
10, 0.40, 9.1057
11, 0.23, 9.2392
12, -0.29, 9.3683
13, 1.58, 9.4545
14, 0.96, 9.5155
15, -0.32, 9.5589
16, 0.11, 9.5877
17, -0.12, 9.5953
18, -0.64, 9.5907
19, 0.18, 9.5840
20, -0.04, 9.5752
21, 0.07, 9.5403
22, -1.18, 9.5066
23, -0.04, 9.5011
24, -0.70, 9.4607
25, -0.42, 9.4310
26, 0.20, 9.3777
27, -0.14, 9.3446
28, -0.52, 9.3228
29, -0.02, 9.2703
30, -0.34, 9.2132
31, -0.02, 9.1782
32, 0.50, 9.1083
33, -1.28, 9.0444
34, 0.45, 8.9828
35, -1.43, 8.9252
36, -0.84, 8.8676
37, 1.52, 8.8123
38, -0.92, 8.7423
39, -0.88, 8.6855
40, 1.43, 8.6343
41, -0.28, 8.5670
42, 0.25, 8.5112
43, 0.97, 8.4459
44, -0.29, 8.3895
45, -1.13, 8.3327
46, -0.67, 8.2639
47, 0.18, 8.1941
48, -0.73, 8.1562
49, -0.89, 8.0878
50, 0.22, 8.0250
51, 0.01, 7.9721
52, 1.31, 7.9147
53, 0.33, 7.8517
54, 2.01, 7.7998
55, 0.18, 7.7575
56, 0.10, 7.6910
57, 0.53, 7.6402
58, 0.31, 7.5850
59, 1.13, 7.5383
60, -0.04, 7.4742
61, 0.48, 7.4244
62, 0.93, 7.3608
63, 1.46, 7.3247
64, 0.23, 7.2777
65, 0.43, 7.2035
66, -1.30, 7.1704
67, 1.20, 7.1175
68, 0.42, 7.0616
69, -1.09, 7.0184
70, 1.53, 6.9700
71, -0.02, 6.9039
72, -0.29, 6.8692
73, 1.29, 6.8117
74, 0.36, 6.7752
75, 0.62, 6.7209
76, 0.28, 6.6884
77, 0.97, 6.6396
78, -0.15, 6.5961
79, 1.10, 6.5625
80, 1.19, 6.5018
81, 0.48, 6.4615
82, 0.14, 6.4140
83, 0.01, 6.3802
84, 0.16, 6.3302
85, -0.01, 6.2836
86, 1.60, 6.2681
87, -0.16, 6.2039
88, -0.23, 6.1638
89, -0.83, 6.1111
90, 0.34, 6.0758
91, 0.44, 6.0370
92, 0.71, 5.9893
93, -0.39, 5.9630
94, -0.76, 5.9231
95, 0.03, 5.8849
96, -0.23, 5.8260
97, -0.27, 5.7832
98, -0.04, 5.7527
99, -0.17, 5.7148
100, 0.81, 5.6827
101, -0.96, 5.6483
102, 1.32, 5.6225
103, -0.58, 5.5695
104, -0.30, 5.5419
105, -0.31, 5.4885
106, 1.44, 5.4534
107, 0.77, 5.4232
108, -0.91, 5.3817
109, 0.65, 5.3548
110, 1.04, 5.3101
111, -0.98, 5.2727
112, -0.15, 5.2366
113, 0.05, 5.2055
114, -0.32, 5.1949
115, -0.52, 5.1327
116, 0.32, 5.0939
117, 0.02, 5.0597
118, 0.90, 5.0261
119, 0.31, 5.0101
120, -0.37, 4.9701
121, 0.48, 4.9468
122, 0.61, 4.9104
123, 0.89, 4.8827
124, 1.00, 4.8459
125, -0.77, 4.8192
126, 0.37, 4.7848
127, 1.21, 4.7580
128, 0.77, 4.7317
129, 0.09, 4.7054
130, 0.38, 4.6739
131, -0.37, 4.6600
132, -0.27, 4.6255
133, 0.38, 4.5997
134, 0.88, 4.5620
135, 0.83, 4.5412
136, 1.22, 4.5094
137, -0.59, 4.4820
138, -0.29, 4.4493
139, 1.05, 4.4153
140, -1.21, 4.4057
141, 0.34, 4.3658
142, 0.41, 4.3226
143, -0.92, 4.3131
144, 0.83, 4.2670
145, -0.81, 4.2493
146, 0.57, 4.2349
147, -0.06, 4.2020
148, 1.06, 4.1609
149, 0.71, 4.1440
150, 0.10, 4.1245
151, 0.20, 4.0911
152, 0.20, 4.0677
153, 0.12, 4.0305
154, 1.94, 4.0016
155, -1.82, 3.9924
156, -0.09, 3.9654
157, 0.93, 3.9306
158, -0.15, 3.9253
159, -0.10, 3.8889
160, -0.75, 3.8659
161, 0.71, 3.8343
162, 0.74, 3.8252
163, 0.83, 3.7989
164, 0.74, 3.7730
165, 0.83, 3.7423
166, 1.49, 3.7135
167, -0.43, 3.6963
168, 0.14, 3.6718
169, 0.26, 3.6568
170, 0.74, 3.6333
171, 1.40, 3.6123
172, -0.54, 3.5799
