epoch, reward, loss
1, -1.78, 3.3060
2, 0.44, 3.6829
3, -1.01, 7.4316
4, -1.19, 8.6542
5, 0.63, 9.3173
6, 0.49, 9.8185
7, -0.87, 10.0604
8, 0.23, 10.3525
9, -0.10, 10.7271
10, -0.18, 10.9803
11, 0.58, 11.1268
12, 1.28, 11.1957
13, -0.63, 11.3340
14, -0.10, 11.3372
15, -1.09, 11.3962
16, -0.49, 11.4676
17, 1.07, 11.4238
18, -0.07, 11.3654
19, -0.63, 11.2291
20, 1.27, 11.2575
21, -0.95, 11.2118
22, -0.69, 11.1495
23, 1.29, 11.0779
24, 0.67, 10.9423
25, -0.50, 10.8525
26, -0.16, 10.8086
27, 0.08, 10.7389
28, 0.98, 10.6768
29, 0.02, 10.6158
30, 0.61, 10.5751
31, 0.14, 10.5228
32, 0.82, 10.4175
33, 0.66, 10.3748
34, -0.04, 10.3365
35, 0.73, 10.3153
36, -0.98, 10.2346
37, 0.49, 10.2169
38, 0.65, 10.1630
39, -1.48, 10.1943
40, -0.46, 10.1663
41, 0.70, 10.1289
42, -0.13, 10.0951
43, -0.07, 10.1188
44, 2.03, 10.0803
45, 1.13, 10.0413
46, -0.52, 10.0274
47, 0.65, 9.9810
48, -0.77, 10.0326
49, 0.09, 10.0225
50, 0.64, 10.0045
51, 0.48, 9.9887
52, -0.75, 9.9140
53, -0.22, 9.9018
54, -0.30, 9.9476
55, -0.72, 9.9578
56, 1.14, 9.8958
57, -0.92, 9.8869
58, 0.70, 9.8958
59, -0.92, 9.9008
60, 1.48, 9.8548
61, 1.05, 9.9034
62, 0.73, 9.8695
63, 0.62, 9.8335
64, -0.41, 9.8350
65, -0.35, 9.7978
66, -0.11, 9.8714
67, -0.94, 9.8124
68, -1.53, 9.7951
69, -1.59, 9.8204
70, -0.57, 9.8239
71, -0.16, 9.8166
72, 0.13, 9.8306
73, 0.61, 9.8230
74, 0.41, 9.7834
75, 0.41, 9.8470
76, -0.14, 9.8415
77, 0.02, 9.8775
78, 0.15, 9.7792
79, 0.78, 9.8497
80, 0.65, 9.8383
81, -1.00, 9.8168
82, -0.53, 9.8485
83, -0.26, 9.8414
84, -0.39, 9.8630
85, -0.06, 9.8590
86, 0.83, 9.8260
87, -0.39, 9.8143
88, 0.26, 9.8426
89, 0.24, 9.8358
90, 0.62, 9.8793
91, -0.34, 9.9150
92, -0.27, 9.9082
93, -0.32, 9.8843
94, 0.35, 9.9289
95, 0.00, 9.8733
96, -1.07, 9.8555
97, -0.38, 9.8941
98, 1.66, 9.8851
99, -0.03, 9.8871
100, -0.27, 9.8879
101, -0.15, 9.8959
102, -0.16, 9.9069
103, -0.39, 9.9267
104, 0.29, 9.9166
105, -0.58, 9.9288
106, 0.67, 9.9515
107, 0.97, 9.9264
108, -0.50, 9.9349
109, 0.53, 9.9114
110, -0.06, 9.9427
111, 2.51, 9.9300
112, -0.71, 9.9695
113, -0.52, 9.9583
114, 0.06, 9.9308
115, -0.56, 9.9817
116, -0.15, 10.0113
117, -0.24, 10.0214
118, -0.04, 10.0397
119, 0.88, 9.9812
120, -0.03, 10.0415
121, -0.16, 10.0343
122, -1.57, 10.0157
123, 0.41, 10.0013
124, 1.33, 10.0250
125, -0.08, 10.1021
126, -0.55, 10.0834
127, 0.21, 10.0350
128, -0.86, 10.0514
129, 0.32, 10.0323
130, 0.51, 10.0674
131, -0.81, 10.0511
132, -1.42, 10.0779
133, -0.89, 10.0597
134, 0.75, 10.0390
135, 0.99, 10.0863
136, -0.22, 10.0929
137, 0.28, 10.1165
138, -0.63, 10.1345
139, 0.27, 10.0877
140, 0.39, 10.1220
141, -0.35, 10.1290
142, 0.22, 10.1301
143, 0.20, 10.1817
144, -0.22, 10.1803
145, -1.65, 10.1944
146, -1.35, 10.1640
147, -0.67, 10.1714
148, -0.92, 10.2174
149, -0.43, 10.2122
150, 0.40, 10.1751
151, 0.93, 10.2104
152, 0.31, 10.1526
153, 0.40, 10.2046
154, -0.38, 10.2226
155, 0.92, 10.1849
156, 0.22, 10.2747
157, 0.25, 10.2524
158, -1.50, 10.2698
159, 0.27, 10.2690
160, 0.00, 10.2622
161, 1.50, 10.2576
162, -0.17, 10.2380
163, -1.19, 10.2951
164, 0.81, 10.3354
165, -0.43, 10.3038
166, -0.18, 10.3116
167, -1.02, 10.3035
168, -0.33, 10.3203
169, 1.47, 10.3299
170, -0.21, 10.3330
171, 0.30, 10.3025
172, -0.76, 10.3013
173, 0.10, 10.3196
174, 0.22, 10.3412
175, 0.38, 10.3360
176, 0.38, 10.3041
177, 0.30, 10.3390
178, 0.98, 10.3632
179, -1.01, 10.3646
180, 1.33, 10.3406
181, 0.41, 10.3889
182, 0.12, 10.4015
183, 0.13, 10.3958
184, 0.68, 10.3949
185, -0.97, 10.4146
186, -1.41, 10.4091
187, -0.71, 10.4242
188, 0.97, 10.4089
189, 0.12, 10.3965
